,country_name,city_name,measure,aqi_level,lat,lon
226,Hungary,Batonyterenye,max_aqi,95,47.9955532,19.8272105
227,Kazakhstan,Ilyich,max_aqi,161,45.4218123,36.7717397
228,Israel,Nahef,max_aqi,143,50.1118999,8.9162321
229,Spain,Marratxi,max_aqi,94,39.621369349999995,2.7328446354668054
230,Myanmar,Akyab,max_aqi,145,24.26396105,75.24512630279455
231,Papua New Guinea,Kokopo,max_aqi,104,-4.5,152.25
232,Madagascar,Ifanadiana,max_aqi,73,-21.3029887,47.6366961
233,Lithuania,Plunge,max_aqi,59,55.9139294,21.8533903
234,Ghana,Akwatia,max_aqi,150,6.0422,-0.797137
235,Azerbaijan,Zabrat,max_aqi,95,45.6162374,26.1313263
236,Armenia,Masis,max_aqi,100,40.0617279,44.4427915
237,Ukraine,Slavuta,max_aqi,106,44.69891,23.683459
238,Malaysia,Miri,max_aqi,209,4.3940102,113.9880199
239,Serbia,Novi Sad,max_aqi,118,45.2551338,19.8451756
240,Slovakia,Revuca,max_aqi,89,48.6833333,20.1166667
241,Gambia,Brikama,max_aqi,162,13.2743914,-16.6454431
242,Ecuador,Quito,max_aqi,131,-0.2201641,-78.5123274
243,Bosnia and Herzegovina,Foca,max_aqi,102,43.5058554,18.774393
244,Czechia,Bruntal,max_aqi,96,49.9885113,17.4652901
245,Argentina,Villa Constitucion,max_aqi,141,-33.227206,-60.3298225
246,Dominican Republic,Villa Bisono,max_aqi,160,18.429107950000002,-68.98107544765574
247,Guinea,Koundara,max_aqi,153,12.485154,-13.298509
248,Bolivia,Portachuelo,max_aqi,67,-17.3545949,-63.3946477
249,Bangladesh,Dinajpur,max_aqi,222,25.5,88.5
250,Sudan,Barbar,max_aqi,182,34.4221319,-119.702667
251,Chile,Lampa,max_aqi,358,31.1761363,-98.240563
252,Panama,Pacora,max_aqi,134,5.5272323,-75.4594449
253,Congo,Nkayi,max_aqi,155,-4.1840962,13.2883675
254,Kyrgyzstan,Suluktu,max_aqi,125,39.936596,69.5685206
255,Mauritius,Grand Baie,max_aqi,61,-20.0130199,57.584627
256,Greece,Arta,max_aqi,129,11.3861664,42.5742801
257,Malawi,Mangochi,max_aqi,70,-14.1406247,35.32636243192955
258,Cuba,Manati,max_aqi,122,18.4182467,-66.49177997205541
259,Saudi Arabia,Riyadh,max_aqi,196,24.638916,46.7160104
260,Benin,Dogbo,max_aqi,101,6.801846,1.7815205
261,Sierra Leone,Kambia,max_aqi,77,9.1246846,-12.9189134
262,Lebanon,Juniyah,max_aqi,82,15.238787,48.920354
263,Uruguay,Colonia,max_aqi,52,-34.1664516,-57.4993268
264,Namibia,Luderitz,max_aqi,232,-26.6500086,15.157266
265,Albania,Peshkopi,max_aqi,115,41.6848768,20.4287139
266,Guyana,New Amsterdam,max_aqi,61,6.2426407,-57.5168359
267,Senegal,Dagana,max_aqi,211,16.516508,-15.50684
268,Lesotho,Maseru,max_aqi,134,-29.310054,27.478222
269,Mongolia,Hovd,max_aqi,100,62.2551933,-7.2310228
270,Venezuela,Mariara,max_aqi,165,10.2891045,-67.7089327
271,Solomon Islands,Honiara,max_aqi,18,-9.4310769,159.9552552
272,Paraguay,Villa Hayes,max_aqi,160,-25.0928654,-57.5246478
273,Zimbabwe,Bindura,max_aqi,93,-17.2989727,31.3299701
274,Austria,Sankt Andra,max_aqi,80,46.7661111,14.8236111
275,Croatia,Velika Gorica,max_aqi,76,45.7155672,16.0717164
276,Honduras,La Lima,max_aqi,92,15.4402726,-87.9277925
277,Cambodia,Ta Khmau,max_aqi,73,11.4687395,104.9451162
278,Uganda,Kisoro,max_aqi,180,-1.19896125,29.67169752654723
279,Moldova,Straseni,max_aqi,69,47.1474401,28.6150196
280,Angola,Caxito,max_aqi,285,-8.5827504,13.6600788
281,Kingdom of Eswatini,Big Bend,max_aqi,169,41.01040355,-121.92235968372319
282,Afghanistan,Kusk,max_aqi,198,41.461025,33.942692
283,Uzbekistan,Turtkul,max_aqi,300,41.5544131,61.0002405
284,Zambia,Senanga,max_aqi,125,-16.104099,23.301807
285,Morocco,Rabat,max_aqi,83,34.02236,-6.8340222
286,Belarus,Zlobin,max_aqi,71,45.2926096,14.6536287
287,Norway,Kristiansand,max_aqi,52,58.085627599999995,7.93185802875815
288,Malta,Mosta,max_aqi,70,35.9079178,14.4241508
289,Rwanda,Gisenyi,max_aqi,157,-1.693545,29.259855
290,Sri Lanka,Nawalapitiya,max_aqi,106,7.0558938,80.5350145
291,Botswana,Palapye,max_aqi,79,-22.536888,27.123513
292,Burundi,Bururi,max_aqi,97,-3.8581592,29.584379
293,Jamaica,May Pen,max_aqi,125,17.974637,-77.2581951
294,Central African Republic,Mbaiki,max_aqi,86,3.8728278,17.9860847
295,Kenya,Kiambu,max_aqi,175,-1.1663925,36.8252791
296,Niger,Arlit,max_aqi,164,18.739079,7.393331
297,Mali,Nioro,max_aqi,182,15.2304528,-9.5899063
298,Slovenia,Celje,max_aqi,85,46.2293889,15.2616828
299,Costa Rica,San Rafael Abajo,max_aqi,94,9.8943757,-84.0821506
300,Nicaragua,Chinandega,max_aqi,143,12.6310831,-87.1347357
301,South Korea,Seoul,max_aqi,421,37.5666791,126.9782914
302,Burkina Faso,Ouahigouya,max_aqi,81,13.580982,-2.417699
